STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
36,NY,6390,26.67,13.33,33.33,0,26.67,0,150
36,NY,10001,25.76,17.22,13.43,9.71,17.77,16.12,14520
36,NY,10002,50.21,19.46,11.4,6.42,8.58,3.91,42180
36,NY,10003,17.55,13.5,13.82,11.24,21.98,21.91,28660
36,NY,10004,14.52,10.08,11.69,8.47,20.97,34.27,2480
36,NY,10005,11.62,12.63,14.48,11.11,22.9,27.27,5940
36,NY,10006,13.08,12.24,13.92,10.55,26.16,24.05,2370
36,NY,10007,13.66,9.3,8.14,6.1,17.15,45.64,3440
36,NY,10009,29.5,20.55,16.91,11.05,15.52,6.48,32410
36,NY,10010,14.75,13.13,14.69,11.41,23.1,22.93,17360
36,NY,10011,17.11,12.3,12.2,10.46,22.96,24.97,29920
36,NY,10012,19.17,13.95,13.87,10.75,21.89,20.37,12470
36,NY,10013,28.51,13.79,10.91,7.76,13.59,25.44,14940
36,NY,10014,14.84,11.58,12.49,10.93,24.87,25.29,18660
36,NY,10016,16.19,14.56,16.19,11.96,21.7,19.41,31940
36,NY,10017,15.36,11.65,12.57,10.55,22.36,27.51,11850
36,NY,10018,22.38,15.96,12.83,9.08,18.78,20.97,6390
36,NY,10019,19.59,14.54,14.18,10.12,21.51,20.07,25110
36,NY,10021,14.7,11.05,13.39,10.71,20.78,29.37,23530
36,NY,10022,13.96,10.74,11.69,10.13,22.58,30.9,19840
36,NY,10023,17.35,11.51,10.92,9.66,22.34,28.24,34070
36,NY,10024,18.78,11.81,11.74,9.4,20.09,28.18,30410
36,NY,10025,27.38,17.12,13.57,9.19,16.36,16.38,45610
36,NY,10026,38.25,23.67,14.14,7.82,10.42,5.71,18040
36,NY,10027,42.27,24.25,12.62,6.73,8.94,5.19,27180
36,NY,10028,15.62,11.39,14.86,11.75,21.12,25.26,25100
36,NY,10029,47.32,26.7,13.18,5.36,5.08,2.37,35060
36,NY,10030,47.62,26.56,13.28,5.94,5.14,1.47,13630
36,NY,10031,47.17,27.06,13.67,5.66,5.15,1.3,29340
36,NY,10032,49.11,26.66,13.04,5.19,4.85,1.16,29300
36,NY,10033,47.53,24.43,12.63,5.87,7.2,2.34,26930
36,NY,10034,46.18,24.23,14.05,6.9,7.1,1.54,20140
36,NY,10035,46.53,25.71,12.89,6.01,6.74,2.12,15130
36,NY,10036,23.93,16.88,13.78,10.26,20.3,14.85,18720
36,NY,10037,36.75,26.12,17.57,9.5,8.74,1.33,10530
36,NY,10038,28.45,15.96,13.15,9.26,18.11,15.05,12090
36,NY,10039,47.03,27.09,13.62,5.79,5.19,1.28,13290
36,NY,10040,45.96,25.16,13.94,6.53,6.62,1.78,21300
36,NY,10044,27,17.37,15.02,10.33,19.25,11.03,4260
36,NY,10065,14.89,12.99,13.12,10.2,20.53,28.26,15780
36,NY,10069,12.8,9,8.3,6.57,20.07,43.25,2890
36,NY,10075,15.34,11.36,13.92,11.08,22.09,26.21,14080
36,NY,10119,17.24,10.34,10.34,0,17.24,44.83,290
36,NY,10128,17.88,13.05,14.93,10.93,19.73,23.49,32950
36,NY,10162,13.33,6.67,8,8,25.33,38.67,750
36,NY,10165,0,40,0,0,20,40,100
36,NY,10170,18.52,11.11,14.81,0,18.52,37.04,270
36,NY,10280,11.43,8.57,10.95,9.52,27.14,32.38,4200
36,NY,10282,9.52,6.06,5.63,5.63,15.58,57.58,2310
36,NY,10301,35.9,21.63,15.04,9.29,13.44,4.7,18080
36,NY,10302,39.85,23.02,14.36,9.03,11.88,1.86,8080
36,NY,10303,43.39,24.16,13.97,8.38,9.37,0.74,12170
36,NY,10304,41.78,22.41,12.17,7.71,11.41,4.51,19720
36,NY,10305,34.72,21.5,14.72,10.57,15.44,3.06,19300
36,NY,10306,30.74,19.11,15.01,11.18,19.08,4.88,26840
36,NY,10307,27.54,16.77,13.08,10.92,22.62,9.08,6500
36,NY,10308,27.75,17.62,14.46,12.48,22.47,5.21,13620
36,NY,10309,27.33,17,13.87,11.27,23.13,7.4,15000
36,NY,10310,38.13,20.33,13,9.34,15.36,3.84,11460
36,NY,10312,26.89,17.89,14.51,11.91,22.75,6.06,29230
36,NY,10314,30.27,20,14.83,11.27,19.12,4.52,40740
36,NY,10451,52.51,28.21,11.72,4.38,2.96,0.21,23290
36,NY,10452,58.98,26.88,9.92,2.65,1.52,0.06,36200
36,NY,10453,61.91,25.77,8.4,2.39,1.44,0.08,37600
36,NY,10454,61.49,26.33,8.33,2.21,1.52,0.13,15840
36,NY,10455,57.93,27.56,10.01,2.81,1.69,0,17780
36,NY,10456,60.71,27.16,8.44,2.38,1.31,0,40390
36,NY,10457,61.12,25.92,8.65,2.75,1.44,0.12,32720
36,NY,10458,57.75,26.54,10.11,3.26,2.21,0.12,34320
36,NY,10459,57.71,27.87,9.35,3.1,1.97,0,21280
36,NY,10460,58.12,27.47,9.16,3.18,1.95,0.12,25120
36,NY,10461,35.62,25.78,17.27,9.46,10.5,1.37,24090
36,NY,10462,40.7,27.61,17.59,7.87,5.82,0.4,39510
